TweetID,Date,Hashtags,CovidRelated
282191,1255485731612626944,04/29/20,[],
282193,1255485731751038720,04/29/20,[],
282196,1255485731998511104,04/29/20,"['Covid19', 'Visioconférence']",Yes
282197,1255485731985899520,04/29/20,[],
282199,1255485732128464896,04/29/20,[],
282201,1255485732115841024,04/29/20,['conversionMafia'],No
282204,1255485732262731520,04/29/20,['TNWantCWMAuthority'],No
282210,1255485734850572288,04/29/20,"['COVID19', 'Odisha', 'OdishaFightsCorona', 'OdishaCares']",Yes
282217,1255485729913913088,04/29/20,[],
282218,1255485735114878720,04/29/20,[],
282219,1255485735098101504,04/29/20,[],
282221,1255485735219745024,04/29/20,[],
282224,1255485735114878720,04/29/20,[],
282225,1255485734858915840,04/29/20,[],
282227,1255485735265861632,04/29/20,[],
282229,1255485735496552448,04/29/20,[],
282231,1255485735223820288,04/29/20,[],
282233,1255485735551016704,04/29/20,[],
282236,1255485735584530432,04/29/20,[],
282249,1255485735983108096,04/29/20,[],
282252,1255485735454625792,04/29/20,[],
282256,1255485736025022464,04/29/20,"['Brave', 'BAT', 'basicattentiontoken']",No
282257,1255485739112042496,04/29/20,[],
282259,1255485738919084032,04/29/20,[],
282260,1255485739141300224,04/29/20,[],
282261,1255485739149778944,04/29/20,[],
282262,1255485739141402624,04/29/20,"['MaskLife', 'ComicRelief', 'Laugh']",No
282267,1255485739183341568,04/29/20,[],
282273,1255485739418206208,04/29/20,[],
282274,1255485739422420992,04/29/20,[],No
282277,1255485739409817600,04/29/20,[],
282283,1255485739506294784,04/29/20,[],
282284,1255485739606904832,04/29/20,[],
282289,1255485739732741888,04/29/20,[],
282290,1255485739753668608,04/29/20,['MamataBanerjee'],No
282291,1255485739476934912,04/29/20,[],
282292,1255485739774742528,04/29/20,[],
282296,1255485739846062336,04/29/20,"['smartworking', 'COVID19']",No
282302,1255485739980206080,04/29/20,[],
282304,1255485740072538112,04/29/20,[],
282305,1255485740051574784,04/29/20,[],
282306,1255485740022202368,04/29/20,[],
282312,1255485743385976832,04/29/20,[],
282313,1255485743415336704,04/29/20,[],
282314,1255485743327318016,04/29/20,[],
282316,1255485743239217152,04/29/20,[],
282324,1255485743075639296,04/29/20,[],
282326,1255485743448961024,04/29/20,[],
282328,1255485743968985088,04/29/20,[],
282334,1255485744052940800,04/29/20,[],
282336,1255485743738302464,04/29/20,['TablighiJamatVirus'],No
282337,1255485743969026048,04/29/20,[],
282341,1255485729549029120,04/29/20,[],
282343,1255485730731823104,04/29/20,[],
282344,1255485732459810816,04/29/20,['covid19'],Yes
282346,1255485737102868480,04/29/20,[],
282352,1255485743704702720,04/29/20,[],
282354,1255485744388456448,04/29/20,"['coronavirus', 'work']",Yes
282355,1255485744208109568,04/29/20,['DLsite'],No
282356,1255485723785953280,04/29/20,[],
282358,1255485746930221056,04/29/20,[],No
282359,1255485747668357120,04/29/20,[],
282363,1255485747664228352,04/29/20,[],
282365,1255485747697770496,04/29/20,[],
282366,1255485747651645440,04/29/20,['BersamaLawanCorona'],No
282368,1255485747739660288,04/29/20,[],
282369,1255485747806843136,04/29/20,[],
282371,1255485748016492288,04/29/20,[],
282379,1255485748138082304,04/29/20,[],
282380,1255485748092047104,04/29/20,[],
282382,1255485747991318528,04/29/20,[],
282390,1255485748268204032,04/29/20,[],
282391,1255485748259815424,04/29/20,[],
282392,1255485747651588096,04/29/20,[],
282397,1255485748150665216,04/29/20,[],
282398,1255485748360482816,04/29/20,"['insurance', 'covid19']",No
282400,1255485748335255552,04/29/20,[],
282407,1255485751749480448,04/29/20,[],
282410,1255485751799746304,04/29/20,[],
282413,1255485751493525504,04/29/20,[],
282418,1255485751409684480,04/29/20,[],
282420,1255485752009466112,04/29/20,[],
282422,1255485752064049152,04/29/20,[],
282423,1255485752097505536,04/29/20,['PanamáChina'],No
282424,1255485751862726912,04/29/20,[],
282427,1255485752286367488,04/29/20,[],
282428,1255485752038903808,04/29/20,[],
282429,1255485752340811520,04/29/20,[],
282431,1255485751980167168,04/29/20,[],
282432,1255485752445730816,04/29/20,[],
282436,1255485752672124928,04/29/20,[],
282437,1255485752386953216,04/29/20,[],
282439,1255485752525443072,04/29/20,[],
282445,1255485752684818432,04/29/20,"['ICYMI', 'volunteers']",No
282449,1255485752928075520,04/29/20,[],
282452,1255485752688939008,04/29/20,[],
282460,1255485755838906368,04/29/20,[],
282461,1255485755755040768,04/29/20,[],
282462,1255485755633393664,04/29/20,[],
282463,1255485755775909888,04/29/20,[],
282464,1255485755880857600,04/29/20,[],
282465,1255485755994116096,04/29/20,[],
282467,1255485755868282880,04/29/20,[],
282468,1255485755847311104,04/29/20,[],
282471,1255485756040249088,04/29/20,[],
282472,1255485756078018304,04/29/20,['Hampton'],No
282473,1255485755935404032,04/29/20,[],
282474,1255485756057018368,04/29/20,"['agile', 'remoteworking']",No
282477,1255485756149305088,04/29/20,[],
282478,1255485756237320192,04/29/20,[],
282482,1255485755750744064,04/29/20,[],
282484,1255485756342181888,04/29/20,[],
282485,1255485755922755584,04/29/20,[],
282486,1255485756132507648,04/29/20,"['UK', 'COVID19']",No
282491,1255485756732313600,04/29/20,[],
282493,1255485756652630016,04/29/20,[],
282496,1255485756799361024,04/29/20,[],
282498,1255485756920954880,04/29/20,[],
282500,1255485755759177728,04/29/20,[],
282502,1255485756681924608,04/29/20,[],
282503,1255485756677722112,04/29/20,['COVID19'],Yes
282504,1255485756979720192,04/29/20,[],
282508,1255485759555059712,04/29/20,[],
282509,1255485760117051392,04/29/20,[],
282510,1255485760112939008,04/29/20,[],
282515,1255485760138088448,04/29/20,[],
282516,1255485760347783168,04/29/20,[],
282518,1255485760205135872,04/29/20,[],
282519,1255485760444272640,04/29/20,['ReinvestinUS'],No
282520,1255485760331026432,04/29/20,[],
282521,1255485759399878912,04/29/20,[],
282522,1255485760083542016,04/29/20,[],
282523,1255485760410660864,04/29/20,[],
282530,1255485760024784896,04/29/20,[],
282531,1255485760712642304,04/29/20,[],
282533,1255485760498696192,04/29/20,[],
282535,1255485759844474880,04/29/20,[],
282537,1255485760993558528,04/29/20,[],
282539,1255485760888803328,04/29/20,[],
282543,1255485760947568640,04/29/20,[],
282544,1255485760721039104,04/29/20,[],
282551,1255485760301600768,04/29/20,[],
282555,1255485761199263488,04/29/20,[],
282559,1255485764101693440,04/29/20,[],No
282563,1255485764235857920,04/29/20,[],
282564,1255485764290449408,04/29/20,[],
282565,1255485763929739264,04/29/20,"['cdnpoli', 'COVID19']",No
282566,1255485764315512832,04/29/20,[],
282567,1255485764240117504,04/29/20,[],
282569,1255485764504338432,04/29/20,"['Interview', 'Corona', 'Coronavirus', 'Impfung']",No
282570,1255485764256911104,04/29/20,[],
282571,1255485764160368640,04/29/20,[],
282572,1255485764571483904,04/29/20,"['lutterworth', 'covid19', 'ONS']",No
282573,1255485764688924672,04/29/20,[],
282575,1255485764567252992,04/29/20,[],No
282582,1255485764734980096,04/29/20,[],
282583,1255485764755914752,04/29/20,[],
282584,1255485764361695232,04/29/20,['CloverCleaning'],No
282588,1255485764911222784,04/29/20,[],
282590,1255485764453924864,04/29/20,"['Diversity', 'Workplace']",No
282595,1255485764923723520,04/29/20,[],
282597,1255485765104123904,04/29/20,[],
282600,1255485765204815872,04/29/20,[],
282603,1255485765200629504,04/29/20,[],
282604,1255485765099958272,04/29/20,[],
282607,1255485768484753408,04/29/20,"['Economía', 'DiarioLibre', 'Actualidad', 'COVID19']",No
282611,1255485768082096128,04/29/20,['Artist'],No
282615,1255485768698671104,04/29/20,[],
282616,1255485768597999616,04/29/20,[],
282617,1255485768644116480,04/29/20,"['quarantine', 'baby']",No
282620,1255485768635686912,04/29/20,[],
282621,1255485768866435072,04/29/20,[],
282624,1255485768136634368,04/29/20,[],
282625,1255485768493076480,04/29/20,[],
282629,1255485768937725952,04/29/20,[],
282631,1255485768925093888,04/29/20,[],
282636,1255485768849592320,04/29/20,[],No
282637,1255485768912572416,04/29/20,[],
282638,1255485769147432704,04/29/20,[],
282643,1255485769327706112,04/29/20,[],
282644,1255485769340325888,04/29/20,[],
282649,1255485769424216064,04/29/20,[],
282650,1255485769277411328,04/29/20,['WetAtWorkWednesday'],No
282653,1255485769466220288,04/29/20,[],
282655,1255485769575211008,04/29/20,[],
282658,1255485771781337088,04/29/20,[],
282664,1255485772834144512,04/29/20,"['pandemic', 'COVID19']",No
282666,1255485772775464704,04/29/20,[],
282670,1255485772892962816,04/29/20,[],
282674,1255485772712620032,04/29/20,['Tuesday'],No
282675,1255485773182316288,04/29/20,[],
282676,1255485773077524480,04/29/20,[],
282683,1255485773157203968,04/29/20,[],
282694,1255485773345890304,04/29/20,[],
282696,1255485772712628224,04/29/20,"['RestoreAsylumNOW', 'COVID19']",No
282699,1255485773622714368,04/29/20,[],
282702,1255485773786288128,04/29/20,[],
282704,1255485773555609600,04/29/20,[],
282709,1255485776747540480,04/29/20,[],
282711,1255485776730734592,04/29/20,[],
282714,1255485776504201216,04/29/20,[],
282716,1255485776978116608,04/29/20,[],
282718,1255485777036873728,04/29/20,[],
282719,1255485776999206912,04/29/20,[],
282720,1255485777070493696,04/29/20,[],
282721,1255485777032683520,04/29/20,[],
282722,1255485777104035840,04/29/20,[],
282723,1255485777292808192,04/29/20,[],
282724,1255485777213100032,04/29/20,[],
282728,1255485777284341504,04/29/20,[],No
282731,1255485777192108032,04/29/20,[],
282735,1255485777401786368,04/29/20,[],
282736,1255485777385005056,04/29/20,[],
282743,1255485777460498432,04/29/20,[],
282747,1255485777624158208,04/29/20,[],
282749,1255485777649324032,04/29/20,"['Tech', 'Technews', 'Ranzware']",No
282753,1255485777775079424,04/29/20,"['Injection', 'ExploitDB']",No
282760,1255485778760777728,04/29/20,"['LegendLake', 'LegendLakeTech']",No
282761,1255485781206073088,04/29/20,[],
282764,1255485781126381568,04/29/20,[],
282768,1255485781130559488,04/29/20,[],
282769,1255485781403144192,04/29/20,[],
282771,1255485781411540992,04/29/20,[],
282774,1255485781449281536,04/29/20,[],
282775,1255485781268979712,04/29/20,['Sutton'],No
282781,1255485781046693888,04/29/20,['RestaurantsRise'],No
282784,1255485781709381632,04/29/20,[],
282785,1255485781042515968,04/29/20,[],
282786,1255485781642182912,04/29/20,[],
282787,1255485781713596416,04/29/20,[],
282790,1255485781805805568,04/29/20,[],
282791,1255485781512257536,04/29/20,[],
282792,1255485781491286016,04/29/20,[],
282793,1255485781243768832,04/29/20,['Virus'],No
282794,1255485781839417088,04/29/20,[],
282800,1255485782032343040,04/29/20,[],
282801,1255485782095208448,04/29/20,[],
282803,1255485781747077120,04/29/20,[],
282804,1255485781851938816,04/29/20,[],
282805,1255485782023974912,04/29/20,[],
282806,1255485781965144064,04/29/20,[],
282807,1255485785287114752,04/29/20,[],
282808,1255485785282957056,04/29/20,[],
282809,1255485784615989248,04/29/20,[],
282812,1255485784804785920,04/29/20,['InterviewHer'],No
282817,1255485784368599040,04/29/20,"['SciComm', 'AGUblogs']",No
282818,1255485785492635648,04/29/20,[],
282819,1255485784880185088,04/29/20,['COVID19'],Yes
282821,1255485785274540032,04/29/20,[],
282822,1255485785446498304,04/29/20,[],
282823,1255485785417166848,04/29/20,[],
282825,1255485785429639168,04/29/20,[],
282829,1255485785626869504,04/29/20,[],
282831,1255485785622622208,04/29/20,[],
282838,1255485785807216640,04/29/20,[],
282839,1255485785647853568,04/29/20,[],
282840,1255485785920417792,04/29/20,[],
